";Base de données pour programme AutoLisp ""g_profil.lsp"" écrit par L.BOUQUILLON le 24.03.97;;";;;;;
";Modifié le ";;;;;
";Objet : Cornière inégales.";;;;;
A;B;E;R;D1;D2
030;020;03.0;04;09.9;05.0
030;020;04.0;04;10.3;05.4
035;020;03.5;04;12.2;04.9
035;020;04.0;04;12.5;05.1
040;020;03.0;04;14.2;04.4
040;020;04.0;04;14.7;04.8
040;025;04.0;04;13.6;06.2
040;025;05.0;05;14.0;06.6
045;030;04.0;04;14.8;07.4
045;030;05.0;05;15.1;07.8
050;030;04.0;05;16.8;07.0
050;030;05.0;05;17.3;07.4
050;030;06.0;06;17.6;07.8
050;040;05.0;05;15.5;10.6
050;040;06.0;06;15.9;11.0
060;030;05.0;05;21.7;06.8
060;040;05.0;06;19.6;09.7
060;040;06.0;06;20.0;10.1
060;040;07.0;06;20.4;10.5
065;050;05.0;06;19.9;12.5
065;050;06.0;06;20.4;12.9
065;050;07.0;07;20.7;13.3
065;050;08.0;08;21.0;13.6
070;050;06.0;06;22.4;12.5
070;050;07.0;07;22.7;12.9
075;050;05.0;05;24.1;11.8
075;050;06.0;06;24.5;12.1
075;050;07.0;07;24.8;12.5
075;050;08.0;08;25.1;12.8
080;040;06.0;06;28.6;08.9
080;040;08.0;08;29.3;09.6
080;060;07.0;08;25.1;15.2
080;060;08.0;08;25.5;15.6
080;065;06.0;06;24.1;16.6
080;065;08.0;08;24.7;17.3
080;065;10.0;10;25.4;18.0
090;065;06.0;06;28.1;15.7
090;065;08.0;08;28.8;16.4
090;070;08.0;08;28.0;18.1
100;050;06.0;06;35.3;10.5
100;050;08.0;08;36.0;11.3
100;050;10.0;10;36.6;12.0
120;080;08.0;11;38.3;18.7
120;080;10.0;11;39.2;19.5
130;065;08.0;11;45.6;13.7
130;065;10.0;11;46.5;14.5
150;090;10.0;12;50.0;20.4
150;090;11.0;12;50.4;20.8
150;100;10.0;13;48.0;23.4
150;100;12.0;13;48.9;24.2
160;080;10.0;13;56.3;16.9
160;080;12.0;13;57.2;17.7
200;100;10.0;15;69.3;20.1
200;100;12.0;15;70.3;21.0
200;100;14.0;15;71.2;21.8
