;Base de données écrit par L.BOUQUILLON le 25.03.97
;Modifié le <???>
;Objet : IPE.
-h---b---a----e---r---h1
080,046,03.8,05.2,05,060
100,055,04.1,05.7,07,075
120,064,04.4,06.3,07,093
140,073,04.7,06.9,07,112
160,082,05.0,07.4,09,127
180,091,05.3,08.0,09,146
200,100,05.6,08.5,12,159
220,110,05.9,09.2,12,178
240,120,06.2,09.8,15,190
270,135,06.6,10.2,15,220
300,150,07.1,10.7,15.249
330,160,07.5,11.5,18,271
360,170,08.0,12.7,18,299
400,180,08.6,13.5,21,331
450,190,09.4,14.6,21,379
500,200,10.2,16.0,21,426
550,210,11.1,17.2,24,468
600,220,12.0,19.0,24,514
