;Base de données écrit par L.BOUQUILLON le 24.03.97
;Modifié le <???>
;Objet : IPN.
-h---b---a----e---r---r1--h1
080,042,03.9,05.9,03.9,02.3,059
100,050,04.5,06.8,04.5,02.7,075
120,058,05.1,07.7,05.1,03.1,092
140,066,05.7,08.6,05.7,03.4,109
160,074,06.3,09.5,06.3,03.8,125
180,082,06.9,10.4,06.9,04.1,142
200,090,07.5,11.3,07.5,04.5,159
220,098,08.1,12.2,08.1,04.9,175
240,106,08.7,13.1,08.7,05.2,192
260,113,09.4,14.1,09.4,05.6,209
280,119,10.1,15.2,10.1,06.1,225
300,125,10.8,16.2,10.8,06.5,241
320,131,11.5,17.3,11.5,06.9,258
340,137,12.2,18.3,12.2,07.3,274
360,143,13.0,19.5,13.0,07.8,290
400,155,14.4,21.6,14.4,08.6,323
450,170,16.2,24.3,16.2,09.7,363
500,185,18.0,27.0,18.0,10.8,404
