;Base de données écrit par L.BOUQUILLON le 25.03.97
;Modifié le <???>
;Objet : UPE.
-h---b---a----e-----r----h1
080,050,04.0,07.00,10.0,046
100,055,04.5,07.50,10.0,065
120,060,05.0,08.00,12.0,080
140,065,05.0,09.00,12.0,098
160,070,05.5,09.50,12.0,117
180,075,05.5,10.50,12.0,135
200,080,06.0,11.00,13.0,152
220,085,06.5,12.00,13.0,170
240,090,07.0,12.50,15.0,185
270,095,07.5,13.50,15.0,213
300,100,09.5,15.00,15.0,240
330,105,11.0,16.00,18.0,262
360,110,12.0,17.00,18.0,290
400,115,13.5,18.00,18.0,328
